observed	predict
GCF_001588605.1_ASM158860v1	coccus	coccus
GCF_002005545.1_ASM200554v1	coccus	coccus
GCF_002014755.1_ASM201475v1	coccus	coccus
GCF_002014795.1_ASM201479v1	coccus	coccus
GCF_002014875.1_ASM201487v1	coccus	coccus
GCF_002096755.1_ASM209675v1	coccus	coccus
GCF_002096765.1_ASM209676v1	coccus	coccus
GCF_002096775.1_ASM209677v1	coccus	coccus
GCF_002096815.1_ASM209681v1	coccus	coccus
GCF_002096835.1_ASM209683v1	coccus	coccus
GCF_002096845.1_ASM209684v1	coccus	coccus
GCF_002096855.1_ASM209685v1	coccus	coccus
GCF_002096925.1_ASM209692v1	coccus	coccus
GCF_002096935.1_ASM209693v1	coccus	coccus
GCF_002860825.1_ASM286082v1	coccus	coccus
GCF_002860865.1_ASM286086v1	coccus	coccus
GCF_003942575.1_ASM394257v1	coccus	coccus
GCF_003942715.1_ASM394271v1	coccus	coccus
GCF_003942765.1_ASM394276v1	coccus	coccus
GCF_003942775.1_ASM394277v1	coccus	coccus
GCF_003942795.1_ASM394279v1	coccus	coccus
GCF_003942865.1_ASM394286v1	coccus	coccus
GCF_003942945.1_ASM394294v1	coccus	coccus
GCF_003942965.1_ASM394296v1	coccus	coccus
GCF_003942995.1_ASM394299v1	coccus	coccus
GCF_003943555.1_ASM394355v1	coccus	coccus
GCF_003943575.1_ASM394357v1	coccus	coccus
GCF_003943605.1_ASM394360v1	coccus	coccus
GCF_003943955.1_ASM394395v1	coccus	coccus
GCF_003943965.1_ASM394396v1	coccus	coccus
GCF_003944325.1_ASM394432v1	coccus	coccus
GCF_005144795.1_ASM514479v1	coccus	coccus
GCF_009495735.1_ASM949573v1	coccus	coccus
GCF_009495895.1_ASM949589v1	coccus	coccus
GCF_009495945.1_ASM949594v1	coccus	coccus
GCF_009495955.1_ASM949595v1	coccus	coccus
GCF_009496075.1_ASM949607v1	coccus	coccus
GCF_009496085.1_ASM949608v1	coccus	coccus
GCF_009496135.1_ASM949613v1	coccus	coccus
GCF_009496155.1_ASM949615v1	coccus	coccus
GCF_009496165.1_ASM949616v1	coccus	coccus
GCF_009496275.1_ASM949627v1	coccus	coccus
GCF_009496285.1_ASM949628v1	coccus	coccus
GCF_009496295.1_ASM949629v1	coccus	coccus
GCF_009496335.1_ASM949633v1	coccus	coccus
GCF_009496435.1_ASM949643v1	coccus	coccus
GCF_009496445.1_ASM949644v1	coccus	coccus
GCF_009496505.1_ASM949650v1	coccus	coccus
GCF_009496725.1_ASM949672v1	coccus	coccus
GCF_009496815.1_ASM949681v1	coccus	coccus
GCF_009496825.1_ASM949682v1	coccus	coccus
GCF_009496835.1_ASM949683v1	coccus	coccus
GCF_009496895.1_ASM949689v1	coccus	coccus
GCF_018603625.1_UMMC_E651_1	coccus	coccus
GCF_018603945.1_ASM1860394v1	coccus	coccus
GCF_019047825.1_ASM1904782v1	coccus	coccus
GCF_019266225.1_ASM1926622v1	coccus	coccus
GCF_019336965.1_ASM1933696v1	coccus	coccus
GCF_019929445.1_ASM1992944v1	coccus	coccus
GCF_019929485.1_ASM1992948v1	coccus	coccus
GCF_019929525.1_ASM1992952v1	coccus	coccus
GCF_900459425.1_42042_B02	coccus	coccus
GCF_902159415.1_25426_7_64	coccus	coccus
GCF_018398275.1_ASM1839827v1	coccus	rod
GCF_016127475.1_ASM1612747v1	coccus	coccus
GCF_017311575.1_ASM1731157v1	coccus	rod
GCF_001553315.1_ASM155331v1	coccus	coccus
GCF_009710845.1_ASM971084v1	coccus	coccus
GCF_015547025.1_ASM1554702v1	coccus	coccus
GCF_001543205.1_ASM154320v1	coccus	coccus
GCF_001719605.1_ASM171960v1	coccus	coccus
GCF_014050425.1_ASM1405042v1	coccus	coccus
GCF_014050435.1_ASM1405043v1	coccus	coccus
GCF_900638585.1_57845_G01	coccus	coccus
GCF_002847745.1_ASM284774v1	coccus	coccus
GCF_001469025.1_ASM146902v1	coccus	coccus
GCF_001703655.1_wgs1	coccus	coccus
GCF_002860745.1_ASM286074v1	coccus	coccus
GCF_009884975.1_ASM988497v1	coccus	coccus
GCF_000814045.1_ASM81404v1	coccus	coccus
GCF_001072275.1_ASM107227v1	coccus	coccus
GCF_003570855.1_ASM357085v1	coccus	coccus
GCF_015555235.1_ASM1555523v1	coccus	coccus
GCF_015559305.1_ASM1555930v1	coccus	coccus
GCF_016127875.1_ASM1612787v1	coccus	coccus
GCF_019336935.1_ASM1933693v1	coccus	coccus
GCF_001049775.1_ASM104977v1	coccus	coccus
GCF_001562845.1_ASM156284v1	coccus	coccus
GCF_900445305.1_58174_B01	coccus	coccus
GCF_001543105.1_ASM154310v1	coccus	coccus
GCF_001552755.1_ASM155275v1	coccus	coccus
GCF_003363255.1_ASM336325v1	coccus	coccus
GCF_005405465.1_ASM540546v1	coccus	coccus
GCF_007992575.1_ASM799257v1	coccus	coccus
GCF_012396385.1_ASM1239638v1	coccus	coccus
GCF_019924045.1_ASM1992404v1	coccus	rod
GCF_017873645.1_ASM1787364v1	coccus	coccus
GCF_001543145.1_ASM154314v1	coccus	coccus
GCF_001543245.1_ASM154324v1	coccus	coccus
GCF_002938435.1_ASM293843v1	coccus	coccus
GCF_004217455.1_ASM421745v1	coccus	coccus
GCF_010682065.1_ASM1068206v1	coccus	coccus
GCF_001886115.1_ASM188611v1	coccus	coccus
GCF_016907495.1_ASM1690749v1	coccus	rod
GCF_006716065.1_ASM671606v1	coccus	rod
GCF_001076095.1_ASM107609v1	coccus	coccus
GCF_001076995.1_ASM107699v1	coccus	coccus
GCF_002208805.2_ASM220880v2	coccus	coccus
GCF_002884615.1_ASM288461v1	coccus	coccus
GCF_002902685.1_ASM290268v1	coccus	coccus
GCF_007667615.1_ASM766761v1	coccus	coccus
GCF_007677055.1_ASM767705v1	coccus	coccus
GCF_007677585.1_ASM767758v1	coccus	coccus
GCF_007678585.1_ASM767858v1	coccus	coccus
GCF_007678915.1_ASM767891v1	coccus	coccus
GCF_016127935.1_ASM1612793v1	coccus	coccus
GCF_019731485.1_ASM1973148v1	coccus	coccus
GCF_000763685.1_ASM76368v1	coccus	coccus
GCF_000763765.1_ASM76376v1	coccus	coccus
GCF_016726365.1_ASM1672636v1	coccus	coccus
GCF_003096415.1_ASM309641v1	coccus	coccus
GCF_012843305.1_ASM1284330v1	coccus	coccus
GCF_900009505.1_ASM90000950v1	coccus	coccus
GCF_900016165.1_ASM90001616v1	coccus	coccus
GCF_900016205.1_ASM90001620v1	coccus	coccus
GCF_003987645.1_ASM398764v1	coccus	coccus
GCF_000174215.1_ASM17421v1	coccus	rod
GCF_001436905.1_ASM143690v1	coccus	coccus
GCF_001702215.1_ASM170221v1	coccus	coccus
GCF_001702235.1_ASM170223v1	coccus	coccus
GCF_001932535.1_ASM193253v1	coccus	rod
GCF_002101585.1_ASM210158v1	coccus	coccus
GCF_002897375.1_ASM289737v1	coccus	coccus
GCF_003044065.1_ASM304406v1	coccus	rod
GCF_001457435.1_Actinobaculum_massiliense	coccus	rod
GCF_000988095.1_ASM98809v1	coccus	rod
GCF_004216755.1_ASM421675v1	coccus	rod
GCF_002812705.1_ASM281270v1	coccus	coccus
GCF_002926155.1_ASM292615v1	coccus	coccus
GCF_002966795.1_ASM296679v1	coccus	coccus
GCF_003994415.1_ASM399441v1	coccus	coccus
GCF_001641515.1_ASM164151v1	coccus	coccus
GCF_001707465.1_ASM170746v1	coccus	coccus
GCF_001971645.1_ASM197164v1	coccus	coccus
GCF_002209555.1_ASM220955v1	coccus	coccus
GCF_003293535.1_ASM329353v1	coccus	coccus
GCF_900637265.1_50432_C01	coccus	coccus
GCF_902859615.1_LMG_6003	coccus	coccus
GCF_902860165.1_LMG_6000	coccus	coccus
GCF_902860205.1_LMG_6001	coccus	coccus
GCF_003987635.1_ASM398763v1	coccus	coccus
GCF_014397115.1_ASM1439711v1	coccus	coccus
GCF_000786655.1_ASM78665v1	coccus	coccus
GCF_900169805.1_ASM90016980v1	coccus	coccus
GCF_002998295.1_ASM299829v1	coccus	coccus
GCF_904845905.1_ASM90484590v1	coccus	coccus
GCF_001885945.1_ASM188594v1	coccus	coccus
GCF_001606025.1_ASM160602v1	coccus	coccus
GCF_001637565.1_ASM163756v1	coccus	coccus
GCF_003721155.3_ASM372115v4	coccus	coccus
GCF_014876055.1_ASM1487605v1	coccus	coccus
GCF_014876075.1_ASM1487607v1	coccus	coccus
GCF_014876085.1_ASM1487608v1	coccus	coccus
GCF_014876095.1_ASM1487609v1	coccus	coccus
GCF_904423795.1_G1766	coccus	coccus
GCF_003003175.1_ASM300317v1	coccus	coccus
GCF_013410215.1_ASM1341021v1	coccus	coccus
GCF_003227755.1_ASM322775v1	coccus	coccus
GCF_003569565.2_ASM356956v2	coccus	coccus
GCF_007713425.1_ASM771342v1	coccus	coccus
GCF_008987005.1_ASM898700v1	coccus	coccus
GCF_900406805.1_De_novo_assembly_of_KCRI_isolate_RDK39_45	coccus	coccus
GCF_008802255.1_ASM880225v1	coccus	coccus
GCF_014635545.1_ASM1463554v1	coccus	coccus
GCF_016502305.1_ASM1650230v1	coccus	coccus
GCF_001622945.1_ASM162294v1	coccus	coccus
GCF_001622965.1_ASM162296v1	coccus	coccus
GCF_001623005.1_ASM162300v1	coccus	coccus
GCF_001682335.1_ASM168233v1	coccus	coccus
GCF_001682435.2_ASM168243v2	coccus	coccus
GCF_001792775.2_ASM179277v2	coccus	coccus
GCF_002362305.1_ASM236230v1	coccus	coccus
GCF_002362325.1_ASM236232v1	coccus	coccus
GCF_002366355.1_ASM236635v1	coccus	coccus
GCF_002366365.1_ASM236636v1	coccus	coccus
GCF_002366375.1_ASM236637v1	coccus	coccus
GCF_002366395.1_ASM236639v1	coccus	coccus
GCF_002366435.1_ASM236643v1	coccus	coccus
GCF_002766935.1_ASM276693v1	coccus	coccus
GCF_002766945.1_ASM276694v1	coccus	coccus
GCF_002766955.1_ASM276695v1	coccus	coccus
GCF_002766965.1_ASM276696v1	coccus	coccus
GCF_002767055.1_ASM276705v1	coccus	coccus
GCF_002767135.1_ASM276713v1	coccus	coccus
GCF_002767145.1_ASM276714v1	coccus	coccus
GCF_002767245.1_ASM276724v1	coccus	coccus
GCF_002767295.1_ASM276729v1	coccus	coccus
GCF_002767355.1_ASM276735v1	coccus	coccus
GCF_002767445.1_ASM276744v1	coccus	coccus
GCF_002767475.1_ASM276747v1	coccus	coccus
GCF_002767485.1_ASM276748v1	coccus	coccus
GCF_002767495.1_ASM276749v1	coccus	coccus
GCF_002767575.1_ASM276757v1	coccus	coccus
GCF_002767605.1_ASM276760v1	coccus	coccus
GCF_002767705.1_ASM276770v1	coccus	coccus
GCF_002767765.1_ASM276776v1	coccus	coccus
GCF_002767795.1_ASM276779v1	coccus	coccus
GCF_002767805.1_ASM276780v1	coccus	coccus
GCF_002767815.1_ASM276781v1	coccus	coccus
GCF_002767945.1_ASM276794v1	coccus	coccus
GCF_002767985.1_ASM276798v1	coccus	coccus
GCF_002768035.1_ASM276803v1	coccus	coccus
GCF_002768045.1_ASM276804v1	coccus	coccus
GCF_002768095.1_ASM276809v1	coccus	coccus
GCF_002768215.1_ASM276821v1	coccus	coccus
GCF_002768225.1_ASM276822v1	coccus	coccus
GCF_002768275.1_ASM276827v1	coccus	coccus
GCF_002768335.1_ASM276833v1	coccus	coccus
GCF_002768345.1_ASM276834v1	coccus	coccus
GCF_002768455.1_ASM276845v1	coccus	coccus
GCF_002768475.1_ASM276847v1	coccus	coccus
GCF_002847165.1_ASM284716v1	coccus	coccus
GCF_002847175.1_ASM284717v1	coccus	coccus
GCF_002847205.2_ASM284720v2	coccus	coccus
GCF_002902125.1_ASM290212v1	coccus	coccus
GCF_002922545.1_ASM292254v1	coccus	coccus
GCF_002922555.1_ASM292255v1	coccus	coccus
GCF_002922565.1_ASM292256v1	coccus	coccus
GCF_002922575.1_ASM292257v1	coccus	coccus
GCF_002922675.1_ASM292267v1	coccus	coccus
GCF_002922705.1_ASM292270v1	coccus	coccus
GCF_002950775.1_ASM295077v1	coccus	coccus
GCF_002976235.2_ASM297623v2	coccus	coccus
GCF_002976255.1_ASM297625v1	coccus	coccus
GCF_003185095.1_ASM318509v1	coccus	coccus
GCF_003185105.1_ASM318510v1	coccus	coccus
GCF_003185145.1_ASM318514v1	coccus	coccus
GCF_003185175.1_ASM318517v1	coccus	coccus
GCF_003185195.1_ASM318519v1	coccus	coccus
GCF_003185295.1_ASM318529v1	coccus	coccus
GCF_003185305.1_ASM318530v1	coccus	coccus
GCF_003185325.1_ASM318532v1	coccus	coccus
GCF_003185365.1_ASM318536v1	coccus	coccus
GCF_003185385.1_ASM318538v1	coccus	coccus
GCF_003185455.1_ASM318545v1	coccus	coccus
GCF_003185465.1_ASM318546v1	coccus	coccus
GCF_003185485.1_ASM318548v1	coccus	coccus
GCF_003185525.1_ASM318552v1	coccus	coccus
GCF_003185535.1_ASM318553v1	coccus	coccus
GCF_003185615.1_ASM318561v1	coccus	coccus
GCF_003185635.1_ASM318563v1	coccus	coccus
GCF_003185785.1_ASM318578v1	coccus	coccus
GCF_003185815.1_ASM318581v1	coccus	coccus
GCF_003337115.1_ASM333711v1	coccus	coccus
GCF_003383685.1_ASM338368v1	coccus	coccus
GCF_003383735.1_ASM338373v1	coccus	coccus
GCF_003383745.1_ASM338374v1	coccus	coccus
GCF_003383795.1_ASM338379v1	coccus	coccus
GCF_003383805.1_ASM338380v1	coccus	coccus
GCF_003383815.1_ASM338381v1	coccus	coccus
GCF_003383915.1_ASM338391v1	coccus	coccus
GCF_003383925.1_ASM338392v1	coccus	coccus
GCF_003383975.1_ASM338397v1	coccus	coccus
GCF_003383985.1_ASM338398v1	coccus	coccus
GCF_003383995.1_ASM338399v1	coccus	coccus
GCF_004166345.1_ASM416634v1	coccus	coccus
GCF_004166355.1_ASM416635v1	coccus	coccus
GCF_004166375.1_ASM416637v1	coccus	coccus
GCF_004166385.1_ASM416638v1	coccus	coccus
GCF_004166435.1_ASM416643v1	coccus	coccus
GCF_004166495.1_ASM416649v1	coccus	coccus
GCF_004166535.1_ASM416653v1	coccus	coccus
GCF_004166545.1_ASM416654v1	coccus	coccus
GCF_004166555.1_ASM416655v1	coccus	coccus
GCF_004166575.1_ASM416657v1	coccus	coccus
GCF_004166665.1_ASM416666v1	coccus	coccus
GCF_004166685.1_ASM416668v1	coccus	coccus
GCF_004166695.1_ASM416669v1	coccus	coccus
GCF_004166735.1_ASM416673v1	coccus	coccus
GCF_004166755.1_ASM416675v1	coccus	coccus
GCF_004166835.1_ASM416683v1	coccus	coccus
GCF_004166855.1_ASM416685v1	coccus	coccus
GCF_004166865.1_ASM416686v1	coccus	coccus
GCF_004166875.1_ASM416687v1	coccus	coccus
GCF_004307335.1_ASM430733v1	coccus	coccus
GCF_004307395.1_ASM430739v1	coccus	coccus
GCF_004320065.1_ASM432006v1	coccus	coccus
GCF_004320075.1_ASM432007v1	coccus	coccus
GCF_004322615.1_ASM432261v1	coccus	coccus
GCF_004322625.1_ASM432262v1	coccus	coccus
GCF_004794855.2_ASM479485v2	coccus	coccus
GCF_006381905.1_ASM638190v1	coccus	coccus
GCF_006381995.1_ASM638199v1	coccus	coccus
GCF_006382015.1_ASM638201v1	coccus	coccus
GCF_006382195.1_ASM638219v1	coccus	coccus
GCF_006382205.1_ASM638220v1	coccus	coccus
GCF_006382215.1_ASM638221v1	coccus	coccus
GCF_006382235.1_ASM638223v1	coccus	coccus
GCF_006382325.1_ASM638232v1	coccus	coccus
GCF_006382355.1_ASM638235v1	coccus	coccus
GCF_006382395.1_ASM638239v1	coccus	coccus
GCF_006382405.1_ASM638240v1	coccus	coccus
GCF_006382505.1_ASM638250v1	coccus	coccus
GCF_006382515.1_ASM638251v1	coccus	coccus
GCF_006382545.1_ASM638254v1	coccus	coccus
GCF_006382555.1_ASM638255v1	coccus	coccus
GCF_006406235.1_ASM640623v1	coccus	coccus
GCF_006406245.1_ASM640624v1	coccus	coccus
GCF_007050485.1_ASM705048v1	coccus	coccus
GCF_007050525.1_ASM705052v1	coccus	coccus
GCF_009183675.1_ASM918367v1	coccus	coccus
GCF_009184785.1_ASM918478v1	coccus	coccus
GCF_009184805.1_ASM918480v1	coccus	coccus
GCF_009184825.1_ASM918482v1	coccus	coccus
GCF_009877245.1_ASM987724v1	coccus	coccus
GCF_009939245.1_ASM993924v1	coccus	coccus
GCF_012275735.1_ASM1227573v1	coccus	coccus
GCF_012275775.1_ASM1227577v1	coccus	coccus
GCF_013285265.2_ASM1328526v2	coccus	coccus
GCF_014397305.1_ASM1439730v1	coccus	coccus
GCF_014397325.1_ASM1439732v1	coccus	coccus
GCF_014397345.1_ASM1439734v1	coccus	coccus
GCF_014397355.1_ASM1439735v1	coccus	coccus
GCF_014397375.1_ASM1439737v1	coccus	coccus
GCF_014397505.1_ASM1439750v1	coccus	coccus
GCF_014397515.1_ASM1439751v1	coccus	coccus
GCF_014397535.1_ASM1439753v1	coccus	coccus
GCF_014397555.1_ASM1439755v1	coccus	coccus
GCF_016092595.1_ASM1609259v1	coccus	coccus
GCF_016103395.1_ASM1610339v1	coccus	coccus
GCF_016126695.1_ASM1612669v1	coccus	coccus
GCF_016126715.1_ASM1612671v1	coccus	coccus
GCF_016127335.1_ASM1612733v1	coccus	coccus
GCF_016403325.1_ASM1640332v1	coccus	coccus
GCF_016454965.1_ASM1645496v1	coccus	coccus
GCF_016454985.1_ASM1645498v1	coccus	coccus
GCF_016455145.1_ASM1645514v1	coccus	coccus
GCF_016455165.1_ASM1645516v1	coccus	coccus
GCF_016455185.1_ASM1645518v1	coccus	coccus
GCF_016455205.1_ASM1645520v1	coccus	coccus
GCF_016481295.1_ASM1648129v1	coccus	coccus
GCF_016481665.1_ASM1648166v1	coccus	coccus
GCF_016481685.1_ASM1648168v1	coccus	coccus
GCF_016481735.1_ASM1648173v1	coccus	coccus
GCF_016481855.1_ASM1648185v1	coccus	coccus
GCF_016481865.1_ASM1648186v1	coccus	coccus
GCF_016481905.1_ASM1648190v1	coccus	coccus
GCF_016481925.1_ASM1648192v1	coccus	coccus
GCF_016481935.1_ASM1648193v1	coccus	coccus
GCF_016482045.1_ASM1648204v1	coccus	coccus
GCF_016482085.1_ASM1648208v1	coccus	coccus
GCF_016482105.1_ASM1648210v1	coccus	coccus
GCF_016482125.1_ASM1648212v1	coccus	coccus
GCF_016482235.1_ASM1648223v1	coccus	coccus
GCF_016482245.1_ASM1648224v1	coccus	coccus
GCF_016482265.1_ASM1648226v1	coccus	coccus
GCF_016482305.1_ASM1648230v1	coccus	coccus
GCF_016482405.1_ASM1648240v1	coccus	coccus
GCF_016482425.1_ASM1648242v1	coccus	coccus
GCF_016482445.1_ASM1648244v1	coccus	coccus
GCF_016482525.1_ASM1648252v1	coccus	coccus
GCF_016804385.1_ASM1680438v1	coccus	coccus
GCF_016804405.1_ASM1680440v1	coccus	coccus
GCF_016804415.1_ASM1680441v1	coccus	coccus
GCF_016804425.1_ASM1680442v1	coccus	coccus
GCF_016804515.1_ASM1680451v1	coccus	coccus
GCF_016804545.1_ASM1680454v1	coccus	coccus
GCF_016804565.1_ASM1680456v1	coccus	coccus
GCF_016804585.1_ASM1680458v1	coccus	coccus
GCF_016804605.1_ASM1680460v1	coccus	coccus
GCF_016804695.1_ASM1680469v1	coccus	coccus
GCF_016804725.1_ASM1680472v1	coccus	coccus
GCF_016804735.1_ASM1680473v1	coccus	coccus
GCF_016804765.1_ASM1680476v1	coccus	coccus
GCF_016804865.1_ASM1680486v1	coccus	coccus
GCF_016804885.1_ASM1680488v1	coccus	coccus
GCF_016804905.1_ASM1680490v1	coccus	coccus
GCF_016804925.1_ASM1680492v1	coccus	coccus
GCF_016805025.1_ASM1680502v1	coccus	coccus
GCF_016805035.1_ASM1680503v1	coccus	coccus
GCF_016805055.1_ASM1680505v1	coccus	coccus
GCF_016805085.1_ASM1680508v1	coccus	coccus
GCF_016805185.1_ASM1680518v1	coccus	coccus
GCF_016805205.1_ASM1680520v1	coccus	coccus
GCF_016805215.1_ASM1680521v1	coccus	coccus
GCF_016805245.1_ASM1680524v1	coccus	coccus
GCF_018997125.1_ASM1899712v1	coccus	coccus
GCF_900636355.2_40961_D01	coccus	coccus
GCF_014653315.1_ASM1465331v1	coccus	rod
GCF_003795145.1_ASM379514v1	coccus	coccus
GCF_007991535.1_ASM799153v1	coccus	coccus
GCF_016760145.1_ASM1676014v1	coccus	coccus
GCF_016760185.1_ASM1676018v1	coccus	coccus
GCF_014897795.1_ASM1489779v1	coccus	coccus
GCF_016107545.1_ASM1610754v1	coccus	coccus
GCF_002902085.1_ASM290208v1	coccus	coccus
GCF_017368555.1_ASM1736855v1	coccus	coccus
GCF_017368575.1_ASM1736857v1	coccus	coccus
GCF_017368755.1_ASM1736875v1	coccus	coccus
GCF_001885735.1_ASM188573v1	coccus	coccus
GCF_002269685.1_ASM226968v1	coccus	coccus
GCF_001885825.1_ASM188582v1	coccus	coccus
GCF_003331185.1_ASM333118v1	coccus	coccus
GCF_001438655.1_ASM143865v1	coccus	coccus
GCF_001885905.1_ASM188590v1	coccus	coccus
GCF_018917555.1_ASM1891755v1	coccus	coccus
GCF_005864415.1_ASM586441v1	coccus	coccus
GCF_001623435.1_ASM162343v1	coccus	coccus
GCF_001646745.1_ASM164674v1	coccus	coccus
GCF_001662505.1_ASM166250v1	coccus	coccus
GCF_002087025.1_ASM208702v1	coccus	coccus
GCF_002744595.1_ASM274459v1	coccus	coccus
GCF_002893965.1_ASM289396v1	coccus	coccus
GCF_006384225.1_ASM638422v1	coccus	coccus
GCF_008306195.1_ASM830619v1	coccus	coccus
GCF_015034605.1_ASM1503460v1	coccus	coccus
GCF_015099595.1_ASM1509959v1	coccus	coccus
GCF_015678935.1_ASM1567893v1	coccus	coccus
GCF_018615095.1_ASM1861509v1	coccus	coccus
GCF_019048925.1_ASM1904892v1	coccus	coccus
GCF_019391295.1_ASM1939129v1	coccus	coccus
GCF_003610495.1_ASM361049v1	coccus	rod
GCF_003017875.1_ASM301787v1	coccus	rod
GCF_003207695.1_ASM320769v1	coccus	rod
GCF_009735495.1_ASM973549v1	coccus	coccus
GCF_013867815.1_ASM1386781v1	coccus	coccus
GCF_015751045.1_ASM1575104v1	coccus	coccus
GCF_015751065.1_ASM1575106v1	coccus	coccus
GCF_016767495.1_ASM1676749v1	coccus	coccus
GCF_016767515.1_ASM1676751v1	coccus	coccus
GCF_016767535.1_ASM1676753v1	coccus	coccus
GCF_016767545.1_ASM1676754v1	coccus	coccus
GCF_016767645.1_ASM1676764v1	coccus	coccus
GCF_016767675.1_ASM1676767v1	coccus	coccus
GCF_016863785.1_ASM1686378v1	coccus	coccus
GCF_017356435.1_ASM1735643v1	coccus	coccus
GCF_018069825.1_ASM1806982v1	coccus	coccus
GCF_018397255.1_ASM1839725v1	coccus	coccus
GCF_018397275.1_ASM1839727v1	coccus	coccus
GCF_018397315.1_ASM1839731v1	coccus	coccus
GCF_018397375.1_ASM1839737v1	coccus	coccus
GCF_018397385.1_ASM1839738v1	coccus	coccus
GCF_018397395.1_ASM1839739v1	coccus	coccus
GCF_018397435.1_ASM1839743v1	coccus	coccus
GCF_018397485.1_ASM1839748v1	coccus	coccus
GCF_018397545.1_ASM1839754v1	coccus	coccus
GCF_018397595.1_ASM1839759v1	coccus	coccus
GCF_018397615.1_ASM1839761v1	coccus	coccus
GCF_018397625.1_ASM1839762v1	coccus	coccus
GCF_018397655.1_ASM1839765v1	coccus	coccus
GCF_018397715.1_ASM1839771v1	coccus	coccus
GCF_018397745.1_ASM1839774v1	coccus	coccus
GCF_018397765.1_ASM1839776v1	coccus	coccus
GCF_018397815.1_ASM1839781v1	coccus	coccus
GCF_019343125.1_ASM1934312v1	coccus	coccus
GCF_019659185.1_ASM1965918v1	coccus	coccus
GCF_019659205.1_ASM1965920v1	coccus	coccus
GCF_019662205.1_ASM1966220v1	coccus	coccus
GCF_019662335.1_ASM1966233v1	coccus	coccus
