Orthogroup	Actinidia_chinensis	Aegilops_tauschii	Arabidopsis_thaliana	Brachypodium_distachyon	Brassica_napus	Brassica_oleracea	Brassica_rapa	Cajanus_cajan	Capsella_rubella	Capsicum_annuum	Chenopodium_quinoa	Cicer_arietinum	Citrullus_lanatus	Citrus_trifoliata	Cocos_nucifera	Cucumis_sativus	Cucurbita_moschata	Daucus_carota	Elaeis_guineensis	Eucalyptus_grandis	Eustoma_grandiflorum	Fagopyrum_esculentum	Fragaria_vesca	Glycine_soja	Helianthus_annuus	Hordeum_vulgare	Lactuca_sativa	Linum_usitatissimum	Lotus_japonicus	Manihot_esculenta	Marchantia_paleacea	Medicago_truncatula	Musa_acuminata	Musa_balbisiana	Nicotiana_benthamiana	Oryza_sativa	Panax_ginseng	Phaseolus_vulgaris	Phoenix_dactylifera	Poncirus_trifoliata	Populus_trichocarpa	Ricinus_communis	Sesamum_indicum	Setaria_italica	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Sorghum_bicolor	Trifolium_pratense	Triticum_aestivum	Triticum_turgidum	Triticum_urartu	Vigna_radiata	Vitis_vinifera	Zea_mays	Adiantum_capillusveneris	Alsophila_spinulosa	Amaranthus_hybridus	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_halleri	Arabidopsis_lyrata	Arachis_hypogaea	Azolla_filiculoides	Boechera_stricta	Brassica_cretica	Brassica_juncea	Brassica_rapa_FPsc	Camelina_sativa_Acsn226	Camelina_sativa_Ames1043	Camelina_sativa_Borowska	Camelina_sativa_CAM116	Camelina_sativa_CAM70	Camelina_sativa_CN113611	Camelina_sativa_Giessen4	Camelina_sativa_Joelle	Camelina_sativa_Licalla	Camelina_sativa_Lindo	Camelina_sativa_Prytzh	Camelina_sativa_Svalof	Capsella_grandiflora	Cardamine_enshiensis	Carica_papaya	Castanea_mollissima	Cephalotus_follicularis	Ceratodon_purpureus	Ceratopteris_richardii	Chara_braunii	Chlamydomonas_reinhardii	Citrus_sinensis	Crambe_hispanica	Cucumis_melo	Dendrobium_catenatum	Descurainia_sophioides	Diptychocarpus_strictus	Ectocarpus_siliculosus	Eruca_vesicaria	Euclidium_syriacum	Eutrema_salsugineum	Ginkgo_biloba	Glycine_max	Gossypium_raimondii	Iberis_amara	Isatis_tinctoria	Klebsormidium_nitens	Lens_culinaris	Lens_ervoides	Lobularia_maritima	Lunaria_annua	Lupinus_angustifolius	Malcolmia_maritima	Malus_domestica	Marchantia_polymorpha	Marsilea_vestita	Megacarpaea_delavayi	Megadenia_pygmaea	Metasequoia_glyptostroboides	Morus_notabilis	Nelumbo_nucifera	Orychophragmus_violaceus	Physcomitrella_patens	Prunus_persica	Rosa_chinensis	Salvinia_cucullata	Schrenkiella_parvula	Selaginella_moellendorffii	Sinapis_alba	Sphagnum_fallax	Spinacia_oleracea	Spirodela_polyrhiza	Tarenaya_hassleriana	Thlaspi_arvense	Thlaspi_arvense_var_AK34W	Thlaspi_arvense_var_Ames_32873	Thlaspi_arvense_var_LorettoMN	Thlaspi_arvense_var_MN106	Thlaspi_arvense_var_MN134	Thlaspi_arvense_var_PI650286	Vicia_faba	Zostera_marina
OG0000010	42	349	14	73	42	19	20	55	16	25	368	35	18	38	48	17	23	64	50	33	172	7	75	60	35	75	104	1	266	26	0	146	102	8	95	57	217	50	52	99	31	22	22	47	27	20	24	62	171	396	91	3	100	74	42	0	0	21	8	16	24	15	16	38	0	15	13	29	14	40	40	40	41	40	39	40	39	38	40	40	40	14	27	23	70	40	0	0	0	0	42	15	19	29	15	14	0	24	14	14	0	55	27	15	42	0	17	24	14	17	11	13	39	0	0	13	17	0	29	14	16	0	95	9	0	16	0	23	0	26	13	17	14	14	14	14	14	14	14	13	16
OG0000011	46	178	21	80	39	23	23	35	26	88	30	13	0	28	22	0	0	89	44	100	15	36	30	52	43	118	23	17	18	46	0	57	34	7	85	147	57	17	55	18	27	31	87	104	64	43	123	80	59	483	379	696	24	107	37	0	0	8	42	27	0	24	30	46	0	49	28	45	23	56	54	53	60	65	55	58	58	53	46	52	56	16	32	7	94	0	0	0	0	0	14	12	0	11	72	14	4	87	20	15	3	87	66	37	284	0	38	26	13	12	14	22	54	0	0	5	27	16	60	39	21	0	181	14	0	11	1	21	3	12	21	17	17	17	14	15	14	15	15	46	0
OG0000012	26	132	51	45	134	66	63	40	51	54	72	31	19	64	38	26	33	60	35	64	61	40	45	75	82	91	67	74	47	69	2	81	183	33	36	69	56	48	42	57	22	43	30	78	54	53	90	74	75	379	239	412	44	27	53	7	1	10	49	30	26	38	50	121	1	38	49	145	71	142	148	143	153	143	147	140	146	141	140	140	142	40	56	21	50	34	0	4	0	0	66	67	16	57	49	51	0	116	46	37	0	94	66	86	185	0	63	80	31	39	34	47	40	1	4	29	27	1	47	23	55	0	84	37	4	43	15	101	0	47	9	30	53	52	49	50	52	52	53	48	11
OG0000013	27	37	2	11	6	4	2	79	2	75	128	44	15	218	64	23	31	36	103	195	1	120	98	90	184	28	96	38	50	124	1	237	82	19	29	59	36	148	106	104	77	47	22	48	25	35	89	28	130	131	111	193	80	246	10	0	0	9	0	21	1	0	0	390	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	149	11	0	0	0	0	65	0	27	12	0	0	0	0	0	1	9	133	130	0	4	0	79	81	0	0	15	0	123	0	1	0	0	18	59	58	2	4	94	45	0	0	0	0	4	11	2	1	0	0	0	0	0	0	0	62	16
OG0000014	92	56	50	36	168	84	84	77	50	51	49	49	38	47	53	37	65	50	62	107	63	63	50	126	82	41	61	81	64	83	3	74	308	96	85	39	70	63	76	51	93	59	46	37	49	52	54	35	62	142	83	145	68	73	60	10	29	20	13	26	16	30	32	80	8	30	44	135	65	100	97	94	102	103	98	98	98	96	97	98	97	32	66	21	43	32	7	13	1	1	25	69	28	30	31	38	0	93	33	37	42	85	49	67	109	0	49	50	35	57	48	35	41	1	12	26	33	60	30	40	55	10	56	18	9	35	10	101	7	20	17	39	31	31	30	31	31	31	31	29	19
OG0000015	0	81	1	30	354	155	129	57	11	57	350	134	2	21	3	30	0	228	1	0	43	8	113	142	194	52	154	0	96	114	0	99	0	0	97	119	207	138	66	2	32	0	5	22	26	45	76	31	117	88	5	0	41	16	57	10	216	54	1	1	75	47	3	2	0	3	111	0	24	0	0	1	1	0	0	0	0	0	0	0	0	20	97	0	57	9	15	2	0	2	18	8	168	7	1	0	0	2	1	0	0	6	24	6	1	2	8	0	1	0	1	0	60	0	0	54	16	2	26	1	318	3	243	6	2	1	0	0	9	55	0	19	1	2	0	2	2	2	2	55	28
OG0000016	6	72	32	8	675	394	200	61	74	61	125	0	8	53	27	3	1	29	11	48	689	32	7	15	135	2	20	30	177	33	1	22	0	1	83	4	255	42	77	0	8	4	25	4	12	15	26	7	65	16	15	24	0	7	1	0	2	8	0	0	9	38	7	1	0	31	129	20	134	16	15	18	19	22	14	13	17	13	18	14	21	17	39	9	176	69	0	7	0	0	25	147	2	65	8	14	0	364	44	48	0	84	130	1096	636	0	3	6	61	67	2	29	32	0	0	132	35	3	0	6	313	0	54	20	0	24	0	13	0	23	0	23	63	7	3	4	6	5	7	21	0
OG0000017	1	175	3	39	311	118	69	7	26	90	294	33	0	3	0	3	0	227	4	1	2	227	28	56	635	11	277	0	320	3	2	84	0	0	43	29	76	38	0	6	10	2	1	33	21	41	25	74	98	77	19	3	2	0	54	1	9	2	0	0	15	28	0	2	0	24	2	17	65	4	6	2	5	8	6	11	7	5	3	6	8	10	9	0	30	2	3	1	6	3	1	84	2	5	11	0	3	220	111	2	1	3	2	388	239	0	2	0	4	34	7	38	33	0	0	1	0	1	3	0	85	14	14	1	1	21	3	3	84	69	0	5	129	4	2	2	2	4	2	6	1
OG0000018	2	56	3	17	163	138	41	85	12	157	84	125	0	8	2	17	74	168	32	9	51	8	15	164	198	14	117	1	86	50	1	36	6	1	124	36	191	366	21	17	12	56	1	23	54	77	40	33	148	42	24	0	109	37	8	1	166	5	1	4	24	28	6	4	0	3	2	4	4	2	1	1	3	2	2	1	3	4	4	3	1	4	12	17	45	2616	2	14	0	0	7	5	9	6	3	2	0	8	2	2	29	11	140	9	10	3	141	2	8	2	7	2	144	2	0	11	14	27	7	1	84	5	172	4	1	3	0	0	4	9	13	30	0	8	5	3	8	9	8	20	0
OG0000019	30	67	31	22	96	50	51	78	29	59	39	25	18	62	25	25	17	92	32	157	11	22	47	90	114	48	76	72	44	55	0	89	61	20	48	32	72	45	25	54	76	33	25	31	39	40	44	30	62	166	107	196	39	76	27	0	0	8	3	8	9	26	27	181	0	32	42	92	42	59	56	54	61	60	56	56	59	56	57	52	60	20	55	18	158	9	0	0	0	0	35	43	21	27	37	29	0	69	33	22	0	91	57	31	129	0	38	34	17	26	19	30	96	0	0	21	21	3	39	34	36	0	69	53	0	19	0	58	0	14	42	9	33	35	31	31	33	32	35	31	40
OG0000020	0	30	3	15	128	21	15	84	7	46	275	119	4	55	16	45	0	168	18	1	0	73	12	181	183	17	40	34	103	28	0	84	0	0	171	38	32	137	64	40	0	0	0	3	19	48	29	31	118	52	34	20	35	77	127	0	0	23	0	22	3	35	0	1	0	3	0	5	11	2	1	1	3	1	1	1	2	1	2	1	2	4	2	0	1	0	4	0	0	0	34	17	75	2	3	0	0	45	12	0	0	44	29	71	37	0	184	18	1	0	7	10	21	0	0	19	0	0	10	0	73	0	100	22	0	0	0	0	0	78	0	0	1	0	1	0	0	1	0	101	0
OG0000021	22	59	74	35	143	76	65	43	78	25	85	23	25	69	41	30	18	33	50	162	21	61	12	66	72	52	26	26	35	40	0	51	61	13	15	59	21	53	38	69	53	20	8	33	13	15	16	37	58	153	105	178	48	42	38	1	1	17	7	21	6	35	26	48	0	44	47	117	68	115	111	124	135	131	115	114	119	122	114	116	118	37	32	7	57	15	0	0	1	0	26	69	17	9	64	39	0	110	66	27	16	38	55	71	254	0	26	27	24	40	14	33	43	0	0	26	36	45	31	25	46	1	77	28	1	25	0	88	0	44	20	30	66	60	48	50	53	50	56	27	13
OG0000022	0	201	2	47	384	90	227	10	22	0	341	3	0	5	0	0	0	48	0	0	1	4	62	4	261	31	381	0	129	11	0	60	0	0	1	33	35	0	0	0	20	0	0	36	0	0	3	84	30	37	1	1	0	0	159	0	0	6	0	0	0	11	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	18	0	0	0	0	0	2	1	0	1	1	0	1	3	0	1	0	0	0	4	0	0	1	0	19	0	0	0	46	0	0	4	2	0	1	0	35	4	20	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
OG0000023	18	7	1	4	129	118	78	79	19	101	165	36	3	21	0	13	3	40	15	10	109	20	12	27	133	9	147	1	50	52	0	29	0	0	175	7	125	115	9	70	28	48	87	2	110	93	146	9	55	47	17	0	80	52	29	0	10	60	4	4	1	156	4	26	0	12	6	9	3	0	1	1	2	2	0	2	2	0	1	1	2	3	37	33	102	279	0	0	0	0	29	14	3	1	8	5	0	49	16	19	1	7	22	94	44	0	5	1	4	11	3	2	85	0	0	49	26	6	24	12	84	1	156	2	0	18	0	1	0	21	1	64	19	6	4	2	7	6	7	30	1
OG0000024	17	133	55	27	228	85	124	29	48	62	104	16	19	25	12	17	17	23	14	47	19	47	53	33	36	44	23	84	43	30	1	61	27	6	39	22	26	23	12	31	16	32	23	35	46	51	37	29	62	203	108	182	20	22	17	4	2	9	6	16	8	17	19	93	0	18	25	66	50	66	71	65	78	76	67	67	67	64	70	69	72	23	29	10	30	12	12	0	0	0	16	31	13	15	21	30	0	521	48	21	3	27	31	38	95	0	28	28	26	17	13	19	25	0	4	16	15	13	15	14	34	5	50	21	0	16	0	57	6	19	5	7	21	23	23	23	23	23	22	25	11
OG0000025	27	76	17	48	87	51	33	23	21	9	66	13	46	26	13	15	6	35	6	28	12	107	20	90	64	58	67	69	94	10	0	65	6	2	20	36	83	20	21	58	45	9	24	135	10	12	9	44	55	168	113	180	19	47	208	0	0	16	32	21	7	8	12	133	0	4	13	33	16	0	0	1	1	1	0	0	0	0	0	0	1	9	16	6	43	29	0	0	0	0	33	29	173	9	16	9	0	41	18	19	0	50	399	42	52	0	15	12	5	14	7	8	106	0	0	5	4	0	15	9	24	0	96	18	0	7	0	15	0	22	0	4	23	5	4	5	5	5	5	8	0
OG0000026	44	21	27	7	67	34	37	51	23	70	38	33	9	258	25	9	5	39	26	252	5	26	118	48	59	12	65	0	17	94	1	126	20	8	8	20	67	57	15	170	90	27	5	6	15	13	36	5	82	38	23	43	77	143	4	2	1	34	46	12	5	21	18	70	1	43	51	87	32	63	60	59	72	67	57	57	69	60	57	52	61	12	37	5	66	7	11	1	0	0	198	23	9	4	19	24	0	54	45	29	22	31	170	65	301	2	33	46	21	15	9	22	39	6	1	16	29	34	29	34	40	6	107	97	1	10	4	30	34	10	27	14	32	29	32	29	28	40	29	19	19
OG0000027	41	89	31	60	120	54	62	30	30	23	39	25	21	21	34	27	30	26	36	24	44	33	15	54	47	56	36	39	30	32	1	33	163	39	24	69	36	30	35	27	31	23	21	55	20	20	21	63	38	211	105	223	30	24	54	16	43	14	8	15	20	17	24	13	18	20	35	92	47	65	72	66	75	73	65	65	66	63	67	65	65	22	37	11	14	12	4	35	0	0	17	42	17	33	22	21	0	82	26	21	28	40	32	39	84	1	25	29	23	34	34	21	23	1	3	24	20	34	16	14	38	7	33	8	11	23	10	85	7	7	7	19	33	30	28	31	30	31	32	31	17
OG0000028	38	58	28	35	87	42	41	45	26	57	58	21	24	38	36	24	23	43	35	60	33	34	40	47	33	55	30	39	44	50	2	48	98	17	55	41	28	24	41	49	44	33	21	44	48	46	52	47	39	170	111	183	28	72	37	30	51	19	35	22	11	20	24	95	7	20	37	63	35	47	47	48	47	49	46	46	45	49	46	46	48	17	36	24	51	16	0	11	2	0	41	32	16	24	22	23	2	63	20	21	41	53	57	35	74	3	34	35	21	25	30	23	37	2	38	19	16	52	21	26	31	0	43	23	5	17	40	42	0	17	10	22	18	19	18	18	20	18	19	37	13
OG0000029	48	32	36	29	149	71	74	40	35	31	41	37	34	23	42	35	63	36	37	28	67	38	23	75	46	31	35	44	33	42	1	38	228	64	53	28	64	40	37	23	40	23	33	34	34	33	33	29	36	104	56	93	39	25	48	14	31	27	15	23	20	30	32	54	13	30	37	119	58	94	94	99	98	100	93	96	95	96	95	95	96	31	66	21	24	20	11	22	1	1	23	60	35	25	34	29	0	97	28	34	19	73	56	60	74	1	32	34	41	52	63	32	43	2	7	39	31	14	23	33	53	17	48	12	11	30	6	86	24	10	21	43	33	32	33	33	32	32	33	36	22
OG0000030	14	62	1	19	4	2	2	47	1	49	31	12	12	73	28	16	13	48	64	68	1	28	30	130	82	41	80	41	24	81	2	110	213	23	21	30	21	33	35	65	12	28	12	27	10	10	24	11	46	153	94	218	116	127	6	2	7	13	20	44	1	1	2	103	0	1	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	1	2	3	70	1	2	5	0	0	53	6	7	6	1	0	0	21	0	1	92	56	59	1	10	0	17	19	1	0	12	0	80	2	1	1	1	61	34	17	1	2	103	25	1	1	3	8	1	7	7	3	1	1	1	1	1	1	1	24	1
OG0000031	4	95	6	35	128	53	41	9	12	38	124	9	7	4	1	10	1	19	3	14	3	251	10	77	100	27	176	2	65	3	0	67	0	0	24	56	74	51	24	4	36	3	13	117	11	14	19	64	31	122	132	104	25	22	162	0	5	20	2	27	59	5	3	610	0	6	3	2	9	0	0	0	0	0	0	0	1	0	0	0	0	2	11	3	111	146	0	0	0	0	25	4	291	21	0	1	0	7	2	1	0	16	380	11	4	0	3	2	7	0	1	1	89	0	0	7	2	0	49	8	41	0	67	5	0	2	0	2	0	56	1	3	3	1	1	1	1	1	1	6	0
OG0000032	38	62	29	32	58	27	29	28	29	31	57	14	24	40	23	26	25	63	15	80	59	58	40	26	87	48	67	55	19	37	6	50	42	15	21	38	52	24	21	39	38	23	42	37	34	25	38	32	33	174	128	198	19	35	30	103	246	18	75	8	8	28	40	49	29	25	30	66	31	79	84	83	96	86	82	87	83	85	87	86	91	25	46	20	57	38	10	85	0	0	36	28	21	18	28	23	0	61	36	24	37	58	45	36	140	0	32	29	24	27	13	26	81	8	95	19	19	70	25	15	40	5	37	40	26	21	64	47	1	33	20	12	26	27	29	28	27	27	29	34	11
OG0000033	18	83	22	39	52	30	24	14	18	10	69	6	10	49	31	7	6	32	47	137	1	72	39	22	86	69	44	11	14	33	2	20	131	22	12	81	12	15	23	36	29	12	19	64	10	8	19	56	22	231	187	224	11	45	30	12	52	44	17	18	2	16	22	61	6	24	36	76	31	50	51	51	69	64	54	50	51	59	53	55	56	18	36	5	48	2	1	10	0	1	27	28	10	6	20	29	1	81	40	10	14	30	59	47	102	0	15	15	17	19	3	20	20	6	2	17	16	54	15	92	31	1	70	27	3	10	0	35	5	38	41	14	28	29	26	25	25	28	27	15	11
OG0000034	10	124	20	50	44	21	21	4	34	28	95	10	7	19	21	11	15	16	31	50	13	26	79	5	10	30	4	15	46	12	0	68	95	21	8	77	27	4	27	18	10	9	4	50	23	29	53	45	39	232	180	355	2	23	35	0	0	12	0	9	1	13	35	26	0	12	19	42	18	47	45	44	51	52	47	41	47	43	43	41	47	27	26	3	39	6	0	0	0	0	17	13	9	17	39	24	0	52	27	22	0	6	18	81	106	0	33	23	20	10	16	53	41	0	0	8	7	0	14	11	29	0	75	39	0	15	0	25	0	35	1	5	20	26	15	26	26	18	18	14	0
OG0000035	21	41	1	20	142	105	57	26	9	36	134	41	6	2	6	6	8	45	14	8	61	6	2	38	106	17	110	4	41	35	0	43	18	0	46	33	244	22	65	123	14	15	22	37	14	16	28	37	44	100	72	4	9	6	62	0	0	17	0	0	29	33	7	4	2	22	37	28	20	15	15	14	17	15	16	15	11	12	14	13	12	13	54	4	113	32	0	0	0	0	71	35	105	10	13	8	1	99	17	8	0	34	97	94	73	0	17	5	29	16	10	13	58	0	0	21	19	0	83	12	85	0	92	10	2	14	0	20	23	218	6	19	30	13	14	11	14	15	15	94	14
OG0000036	18	57	25	32	74	33	29	33	25	23	26	43	15	24	17	14	18	27	16	89	51	33	28	51	60	37	38	32	40	30	20	53	43	10	24	41	35	29	17	25	46	9	24	38	17	15	18	44	53	152	97	171	27	70	34	5	1	17	13	10	10	15	26	45	3	23	27	65	31	74	78	76	79	78	77	72	76	75	78	73	74	19	34	16	46	29	22	1	0	1	29	27	16	11	24	23	0	45	23	17	12	56	30	41	90	0	32	29	23	26	27	21	34	14	0	23	27	29	28	16	30	10	47	26	0	22	19	52	20	6	2	23	26	27	25	26	27	26	27	45	11
