observed	predict
Ectobacillus_panaciterrae_DSM_19096	Non_Motility	Non_Motility
Macellibacteroides_fermentans	Non_Motility	Non_Motility
Butyricimonas_synergistica_DSM_23225	Non_Motility	Non_Motility
Actinomyces_urogenitalis_DSM_15434	Non_Motility	Non_Motility
Corynebacterium_tuberculostearicum	Non_Motility	Non_Motility
Loigolactobacillus_iwatensis	Non_Motility	Non_Motility
Epilithonimonas_hominis	Non_Motility	Non_Motility
Arenibacter_certesii_DSM_19833	Non_Motility	Non_Motility
Streptococcus_porci_DSM_23759	Non_Motility	Non_Motility
Amycolatopsis_cihanbeyliensis	Non_Motility	Non_Motility
Sphingobacterium_bovisgrunnientis	Non_Motility	Non_Motility
Dokdonella_immobilis	Non_Motility	Non_Motility
Millisia_brevis_NBRC_105863	Non_Motility	Non_Motility
Loktanella_fryxellensis	Non_Motility	Motility
Compostimonas_suwonensis	Non_Motility	Non_Motility
Micromonospora_pattaloongensis	Non_Motility	Motility
Arcicella_aurantiaca	Non_Motility	Non_Motility
Paucilactobacillus_hokkaidonensis	Non_Motility	Non_Motility
Gordonia_shandongensis_DSM_45094	Non_Motility	Non_Motility
Kitasatospora_gansuensis	Non_Motility	Non_Motility
Bhargavaea_beijingensis	Non_Motility	Non_Motility
Micromonospora_phaseoli	Non_Motility	Non_Motility
Saonia_flava	Non_Motility	Non_Motility
Ramlibacter_alkalitolerans	Non_Motility	Motility
Pedobacter_quisquiliarum	Non_Motility	Non_Motility
Streptomyces_lasiicapitis	Non_Motility	Non_Motility
Vibrio_comitans_NBRC_102076	Non_Motility	Non_Motility
Stackebrandtia_nassauensis_DSM_44728	Non_Motility	Non_Motility
Aeromonas_salmonicida	Non_Motility	Motility
Kozakia_baliensis	Non_Motility	Motility
Pseudochrobactrum_saccharolyticum	Non_Motility	Non_Motility
Streptomyces_rubidus	Non_Motility	Non_Motility
Algoriphagus_aquimarinus	Non_Motility	Non_Motility
Cutibacterium_acnes	Non_Motility	Non_Motility
Jeotgalicoccus_aerolatus	Non_Motility	Non_Motility
Nocardiopsis_potens_DSM_45234	Non_Motility	Non_Motility
Fructobacillus_durionis	Non_Motility	Non_Motility
Amycolatopsis_viridis	Non_Motility	Non_Motility
Mycobacterium_decipiens	Non_Motility	Non_Motility
Mucilaginibacter_gracilis	Non_Motility	Non_Motility
Pontibacter_akesuensis	Non_Motility	Non_Motility
Chitinophaga_ginsengisegetis	Non_Motility	Non_Motility
Kribbella_pittospori	Non_Motility	Non_Motility
Aliifodinibius_sediminis	Non_Motility	Motility
Companilactobacillus_allii	Non_Motility	Non_Motility
Bifidobacterium_myosotis	Non_Motility	Non_Motility
Companilactobacillus_paralimentarius	Non_Motility	Non_Motility
Segniliparus_rotundus_DSM_44985	Non_Motility	Non_Motility
Erythrobacter_donghaensis	Non_Motility	Motility
Longibacter_salinarum	Non_Motility	Non_Motility
Auritidibacter_ignavus	Non_Motility	Non_Motility
Hymenobacter_sp._CCM_8763	Non_Motility	Non_Motility
Sphingobium_jiangsuense	Non_Motility	Motility
Parolsenella_catena	Non_Motility	Non_Motility
Nocardioides_kongjuensis	Non_Motility	Non_Motility
Pedobacter_steynii	Non_Motility	Non_Motility
Allocatelliglobosispora_scoriae	Non_Motility	Non_Motility
Micromonospora_sediminimaris	Non_Motility	Non_Motility
Ruegeria_faecimaris	Non_Motility	Motility
Streptacidiphilus_bronchialis	Non_Motility	Non_Motility
Hoyosella_altamirensis	Non_Motility	Non_Motility
Catellatospora_chokoriensis	Non_Motility	Non_Motility
Loktanella_salsilacus	Non_Motility	Motility
Pseudoclavibacter_chungangensis	Non_Motility	Non_Motility
Trinickia_soli	Non_Motility	Motility
Marmoricola_ginsengisoli	Non_Motility	Non_Motility
Companilactobacillus_nantensis	Non_Motility	Non_Motility
Mycolicibacterium_sediminis	Non_Motility	Non_Motility
Herbiconiux_flava	Non_Motility	Non_Motility
Luteitalea_pratensis	Non_Motility	Motility
Parerythrobacter_jejuensis	Non_Motility	Motility
Kocuria_turfanensis	Non_Motility	Non_Motility
Mycobacterium_paraseoulense	Non_Motility	Non_Motility
Bryocella_elongata	Non_Motility	Motility
Nocardia_rhizosphaerihabitans	Non_Motility	Non_Motility
Deinococcus_aquatilis_DSM_23025	Non_Motility	Non_Motility
Nocardia_higoensis_NBRC_100133	Non_Motility	Non_Motility
Caldanaerovirga_acetigignens	Non_Motility	Motility
Halospina_denitrificans	Non_Motility	Non_Motility
Galliscardovia_ingluviei	Non_Motility	Non_Motility
Stella_humosa	Non_Motility	Non_Motility
Saccharothrix_saharensis	Non_Motility	Non_Motility
Flavobacterium_limi	Non_Motility	Non_Motility
Fulvivirga_lutimaris	Non_Motility	Non_Motility
Aequorivita_capsosiphonis_DSM_23843	Non_Motility	Non_Motility
Jejuia_pallidilutea	Non_Motility	Motility
Companilactobacillus_bobalius_DSM_19674	Non_Motility	Non_Motility
Ornithinibacter_aureus	Non_Motility	Non_Motility
Enterococcus_alcedinis	Non_Motility	Motility
Agrococcus_terreus	Non_Motility	Non_Motility
Companilactobacillus_nantensis_DSM_16982	Non_Motility	Non_Motility
Algoriphagus_aestuariicola	Non_Motility	Non_Motility
Parapedobacter_pyrenivorans	Non_Motility	Non_Motility
Enterococcus_silesiacus	Non_Motility	Non_Motility
Corynebacterium_propinquum_DSM_44285	Non_Motility	Non_Motility
Hydrogenoanaerobacterium_saccharovorans	Non_Motility	Motility
Schaalia_suimastitidis_DSM_15538	Non_Motility	Non_Motility
Dyadobacter_fermentans_DSM_18053	Non_Motility	Non_Motility
Oceanicella_actignis	Motility	Motility
Erythrobacter_ramosus	Motility	Non_Motility
Sediminibacterium_ginsengisoli	Motility	Non_Motility
Aliivibrio_finisterrensis	Motility	Motility
Marinomonas_arctica	Motility	Motility
Mesonia_mobilis	Motility	Non_Motility
Kistimonas_asteriae	Motility	Motility
Caldalkalibacillus_mannanilyticus_JCM_10596	Motility	Motility
Psychroflexus_tropicus_DSM_15496	Motility	Non_Motility
Pseudoduganella_danionis	Motility	Motility
Fictibacillus_arsenicus	Motility	Motility
Seleniivibrio_woodruffii	Motility	Motility
Comamonas_composti_DSM_21721	Motility	Motility
Clostridium_tepidum	Motility	Motility
Lysobacter_soli	Motility	Motility
Cellulomonas_marina	Motility	Non_Motility
Pseudidiomarina_donghaiensis	Motility	Motility
Photobacterium_gaetbulicola	Motility	Motility
Planobispora_siamensis	Motility	Non_Motility
Georgenia_ruanii	Motility	Non_Motility
Maridesulfovibrio_ferrireducens	Motility	Motility
Brevibacillus_panacihumi	Motility	Motility
Lysinibacillus_xylanilyticus	Motility	Motility
Pseudovibrio_japonicus	Motility	Motility
Marinobacterium_halophilum	Motility	Motility
Dyella_terrae	Motility	Motility
Bosea_caraganae	Motility	Motility
Oceanobacillus_profundus	Motility	Motility
Bacillus_halotolerans	Motility	Motility
Salimicrobium_flavidum	Motility	Motility
Hwanghaeicola_aestuarii	Motility	Motility
Thermodesulfitimonas_autotrophica	Motility	Motility
Weissella_beninensis	Motility	Motility
Rhodovulum_kholense	Motility	Motility
Devosia_subaequoris	Motility	Motility
Azonexus_hydrophilus_DSM_23864	Motility	Motility
Hymenobacter_gummosus	Motility	Non_Motility
Parvularcula_lutaonensis	Motility	Motility
Paenibacillus_sp._CGMCC_1.16610	Motility	Motility
Pseudooceanicola_nitratireducens	Motility	Motility
Fontimonas_thermophila	Motility	Motility
Halomonas_urumqiensis	Motility	Motility
Pelagibacterium_lentulum	Motility	Motility
Chromobacterium_phragmitis	Motility	Motility
Paenalcaligenes_hominis	Motility	Motility
Desulfobulbus_alkaliphilus	Motility	Motility
Kosakonia_oryzae	Motility	Motility
Endozoicomonas_montiporae	Motility	Motility
Winogradskyella_sediminis	Motility	Non_Motility
Salinicola_halophilus	Motility	Motility
Salipiger_pacificus	Motility	Motility
Aminobacter_ciceronei	Motility	Motility
Alteromonas_hispanica	Motility	Motility
Pandoraea_faecigallinarum	Motility	Motility
Sphingopyxis_bauzanensis	Motility	Motility
Sphingobium_boeckii	Motility	Motility
Pedobacter_hartonius	Motility	Non_Motility
Pontibacter_virosus	Motility	Non_Motility
Photobacterium_halotolerans_DSM_18316	Motility	Motility
Luteibacter_rhizovicinus_DSM_16549	Motility	Motility
Paenibacillus_thermoaerophilus	Motility	Motility
Ectobacillus_antri	Motility	Motility
Marinobacter_flavimaris	Motility	Motility
Cucumibacter_marinus_DSM_18995	Motility	Motility
Nocardioides_agariphilus	Motility	Non_Motility
Actinokineospora_baliensis	Motility	Non_Motility
Sulfitobacter_litoralis	Motility	Motility
Acidovorax_wautersii	Motility	Motility
Leifsonia_soli	Motility	Non_Motility
Fontibacillus_panacisegetis	Motility	Motility
Sphingopyxis_terrae_subsp._ummariensis	Motility	Motility
Shewanella_aestuarii	Motility	Motility
Planococcus_antarcticus_DSM_14505	Motility	Motility
Aureimonas_leprariae	Motility	Motility
Bacillus_ectoiniformans	Motility	Motility
Nesterenkonia_lutea	Motility	Non_Motility
Pontibacillus_litoralis_JSM_072002	Motility	Motility
Endobacter_medicaginis	Motility	Motility
Rhizobium_grahamii_CCGE_502	Motility	Motility
Desulfobulbus_japonicus_DSM_18378	Motility	Motility
Alkalihalobacillus_lehensis	Motility	Motility
Aquimonas_voraii	Motility	Motility
Phaeobacter_inhibens_DSM_16374	Motility	Motility
Alkalihalobacillus_marmarensis_DSM_21297	Motility	Motility
Selenomonas_bovis_DSM_23594	Motility	Motility
Falsibacillus_pallidus	Motility	Motility
Anoxybacillus_tepidamans	Motility	Motility
Tateyamaria_pelophila	Motility	Non_Motility
Stenotrophomonas_terrae	Motility	Motility
Novosphingopyxis_baekryungensis_DSM_16222	Motility	Motility
Dyella_japonica_DSM_16301	Motility	Motility
Bacillus_manliponensis	Motility	Motility
Massilia_psychrophila	Motility	Motility
Lysinibacillus_fusiformis	Motility	Motility
Amphritea_balenae	Motility	Motility
Actinoplanes_xinjiangensis	Motility	Non_Motility
Owenweeksia_hongkongensis_DSM_17368	Motility	Non_Motility
Mobilisporobacter_senegalensis	Motility	Motility
Halanaerobacter_jeridensis	Motility	Motility
Breznakibacter_xylanolyticus	Motility	Non_Motility
Aurantimonas_coralicida_DSM_14790	Motility	Motility
Thiomicrorhabdus_chilensis_DSM_12352	Motility	Motility
Lysinibacillus_alkalisoli	Motility	Motility
Lacimicrobium_alkaliphilum	Motility	Motility
Paraburkholderia_tropica	Motility	Motility
Agarivorans_aestuarii	Motility	Motility
Alkalihalobacillus_hemicellulosilyticus_JCM_9152	Motility	Motility
Pontibacillus_salipaludis	Motility	Motility
Dissulfurirhabdus_thermomarina	Motility	Motility
Pseudoalteromonas_arabiensis	Motility	Motility
Cronobacter_malonaticus_LMG_23826	Motility	Motility
Natribacillus_halophilus	Motility	Motility
Pseudomonas_cuatrocienegasensis	Motility	Motility
Domibacillus_epiphyticus	Motility	Motility
Pseudohongiella_nitratireducens	Motility	Motility
Aurantimonas_endophytica	Motility	Motility
Virgibacillus_necropolis	Motility	Motility
Fusibacter_tunisiensis	Motility	Motility
Rhizobium_tubonense	Motility	Motility
Aliagarivorans_marinus_DSM_23064	Motility	Motility
Microbulbifer_thermotolerans	Motility	Motility
Aliarcobacter_skirrowii_CCUG_10374	Motility	Motility
Paraburkholderia_terrae_NBRC_100964	Motility	Motility
Halomonas_caseinilytica	Motility	Non_Motility
Hirschia_maritima_DSM_19733	Motility	Motility
Marivibrio_halodurans	Motility	Motility
Chelatococcus_composti	Motility	Motility
Allobacillus_halotolerans	Motility	Motility
Mixta_calida	Motility	Motility
Paracoccus_chinensis	Motility	Motility
Neiella_marina	Motility	Motility
Pusillimonas_noertemannii	Motility	Motility
Pandoraea_apista	Motility	Motility
Methylobacterium_oxalidis	Motility	Motility
Halomonas_litopenaei	Motility	Motility
Comamonas_kerstersii	Motility	Motility
Metabacillus_halosaccharovorans	Motility	Motility
Brevundimonas_basaltis	Motility	Motility
Shimia_isoporae	Motility	Motility
Bordetella_avium	Motility	Motility
Paenibacillus_aceti	Motility	Motility
Bacillus_siamensis_KCTC_13613	Motility	Motility
Schlesneria_paludicola_DSM_18645	Motility	Motility
Siminovitchia_terrae	Motility	Motility
Aquamicrobium_aerolatum_DSM_21857	Motility	Non_Motility
Campylobacter_canadensis	Motility	Motility
Paraburkholderia_diazotrophica	Motility	Motility
Treponema_rectale	Motility	Motility
Mixta_gaviniae	Motility	Motility
Lederbergia_galactosidilyticus	Motility	Motility
Phyllobacterium_endophyticum	Motility	Motility
Jannaschia_pohangensis	Motility	Non_Motility
Alishewanella_tabrizica	Motility	Motility
Dickeya_dianthicola_NCPPB_453	Motility	Motility
Xanthomonas_nasturtii	Motility	Motility
Sediminibacillus_halophilus	Motility	Motility
Duganella_ginsengisoli	Motility	Motility
Allochromatium_humboldtianum	Motility	Motility
Alishewanella_longhuensis	Motility	Motility
Paenibacillus_prosopidis	Motility	Motility
Mangrovibacter_plantisponsor	Motility	Motility
Marinitoga_litoralis	Motility	Motility
Massilia_dura	Motility	Motility
Sulfuritortus_calidifontis	Motility	Motility
Vibrio_atypicus	Motility	Motility
Alteromonas_genovensis	Motility	Motility
Brenneria_sp._CFCC_11842	Motility	Motility
Nisaea_denitrificans_DSM_18348	Motility	Motility
Olleya_namhaensis	Motility	Non_Motility
Achromobacter_deleyi	Motility	Motility
Proteiniphilum_acetatigenes_DSM_18083	Motility	Non_Motility
Fictibacillus_solisalsi	Motility	Motility
Achromobacter_agilis	Motility	Motility
Pelagibius_litoralis	Motility	Motility
Evansella_cellulosilytica_DSM_2522	Motility	Motility
Mesorhizobium_silamurunense	Motility	Motility
Halomonas_daqingensis	Motility	Motility
Phaeovibrio_sulfidiphilus	Motility	Motility
Exiguobacterium_undae	Motility	Motility
Agromyces_aureus	Motility	Non_Motility
Desulfohalobium_retbaense_DSM_5692	Motility	Motility
Nisaea_nitritireducens	Motility	Motility
Paracandidimonas_soli	Motility	Motility
Oceanobacillus_chungangensis	Motility	Motility
Paraburkholderia_piptadeniae	Motility	Motility
Aquimarina_mytili	Motility	Non_Motility
Perlucidibaca_piscinae_DSM_21586	Motility	Motility
Pedobacter_westerhofensis	Motility	Non_Motility
Brevibacterium_album_DSM_18261	Motility	Non_Motility
Halolactibacillus_miurensis	Motility	Motility
Desulfonatronovibrio_hydrogenovorans_DSM_9292	Motility	Motility
Helicobacter_fennelliae	Motility	Motility
Anaerosporobacter_mobilis_DSM_15930	Motility	Motility
Paenibacillus_xerothermodurans	Motility	Motility
Marinobacter_hydrocarbonoclasticus_ATCC_49840	Motility	Motility
Eoetvoesia_caeni	Motility	Motility
Mariniflexile_gromovii	Motility	Non_Motility
Gottfriedia_solisilvae	Motility	Motility
Aeromonas_popoffii	Motility	Motility
Pandoraea_norimbergensis	Motility	Motility
Thalassobacter_stenotrophicus	Motility	Motility
Roseovarius_pacificus	Motility	Non_Motility
Neobacillus_soli_NBRC_102451	Motility	Motility
Croceicoccus_mobilis	Motility	Motility
Alkalitalea_saponilacus	Motility	Non_Motility
Marinomonas_polaris_DSM_16579	Motility	Motility
Massilia_buxea	Motility	Motility
Flavobacterium_chilense	Motility	Non_Motility
Roseomonas_aerophila	Motility	Motility
Planococcus_plakortidis	Motility	Motility
Nevskia_soli_DSM_19509	Motility	Motility
Oleibacter_marinus	Motility	Motility
Massilia_violacea	Motility	Motility
Gracilibacillus_ureilyticus	Motility	Motility
Salinisphaera_halophila_YIM_95161	Motility	Non_Motility
Brucella_anthropi_ATCC_49188	Motility	Motility
Tepidimicrobium_xylanilyticum	Motility	Motility
Siccibacter_turicensis_LMG_23730	Motility	Motility
Parasphingorhabdus_marina_DSM_22363	Motility	Motility
Marinobacter_antarcticus	Motility	Motility
Desulfopila_aestuarii_DSM_18488	Motility	Motility
Xanthomarina_spongicola	Motility	Non_Motility
Pseudomonas_guariconensis	Motility	Motility
Kinneretia_asaccharophila	Motility	Motility
Pseudovibrio_denitrificans	Motility	Motility
Mobiluncus_mulieris_ATCC_35243	Motility	Motility
Shinella_fusca	Motility	Motility
Alcanivorax_dieselolei	Motility	Motility
Halomonas_subterranea	Motility	Motility
Massilia_niastensis_DSM_21313	Motility	Motility
Brevibacillus_nitrificans	Motility	Motility
Pararhizobium_antarcticum	Motility	Motility
