observed	predict
GCF_002910315.1_ASM291031v1	vertebrate	vertebrate
GCF_029289425.2_NHGRI_mPanPan1__v2.0_pri	vertebrate	vertebrate
GCF_000337955.1_F_peregrinus_v1.0	vertebrate	vertebrate
GCF_001891065.1_H_comes_QL1_v1	vertebrate	vertebrate
GCF_033115175.1_mLepTim1.pri	vertebrate	vertebrate
GCF_001970005.1_Flounder_ref_guided_V1.0	vertebrate	vertebrate
GCF_001604975.1_Cebus_imitator__1.0	vertebrate	vertebrate
GCF_000372685.2_Astyanax_mexicanus__2.0	vertebrate	vertebrate
GCF_028538775.1_mMyoYum1.0.hap1	vertebrate	vertebrate
GCF_015237465.1_rCheMyd1.pri	vertebrate	vertebrate
GCF_000442215.2_Lipotes_vexillifer_v1.1	vertebrate	vertebrate
GCF_001890085.2_ASM189008v1	vertebrate	vertebrate
GCF_001663975.1_Xenopus_laevis_v2	vertebrate	vertebrate
GCF_001640805.1_ASM164080v1	vertebrate	vertebrate
GCF_021234165.1_CSHL_Meso_final	vertebrate	vertebrate
GCF_002776525.5_ASM277652v5	vertebrate	vertebrate
GCF_004126475.2_mPhyDis1.pri.v3	vertebrate	vertebrate
GCF_000190715.1_v1.0	invertebrate	invertebrate
GCF_000313135.1_Acastellanii.strNEFF_v1	invertebrate	invertebrate
GCF_016920715.1_AaraD3	invertebrate	invertebrate
GCF_002087225.1_Tth_v3	invertebrate	invertebrate
GCF_024763615.1_Ppap_2.1	invertebrate	invertebrate
GCF_000006515.1_JCVI_cmg_v1.0	invertebrate	invertebrate
GCF_001457755.1_Trypanosoma_equiperdum_OVI_V2	invertebrate	invertebrate
GCF_026262505.1_NYU_TvagG3_2	invertebrate	invertebrate
GCF_013339725.1_ASM1333972v1	invertebrate	invertebrate
GCF_000227135.1_ASM22713v2	invertebrate	invertebrate
GCF_000002435.2_UU_WB_2.1	invertebrate	invertebrate
GCF_036898095.1_ASM3689809v2	invertebrate	invertebrate
GCF_004359215.1_BlacSF5v2	invertebrate	invertebrate
GCF_023558435.1_ASM2355843v2	invertebrate	invertebrate
GCF_007210705.1_Tcal_SD_v2.1	invertebrate	invertebrate
GCF_900097015.1_PADLG01	invertebrate	invertebrate
GCF_001643675.1_ASM164367v2	invertebrate	invertebrate
GCF_026151205.1_MBARI_Bmic_1.0	invertebrate	invertebrate
GCF_017916335.1_LU_Lori_1.0	invertebrate	invertebrate
GCF_006345805.1_ASM634580v1	invertebrate	invertebrate
GCF_003719485.1_ASM371948v1	invertebrate	invertebrate
GCF_018135715.1_MEX_DaPlex	invertebrate	invertebrate
GCF_028658345.1_Bduncani_v1	invertebrate	invertebrate
GCF_032884065.1_ASM3288406v1	invertebrate	invertebrate
GCF_000165365.1_ASM16536v1	invertebrate	invertebrate
GCF_018691715.1_ASM1869171v1	invertebrate	invertebrate
GCF_018143015.1_Lvar_3.0	invertebrate	invertebrate
GCF_025200985.1_Dgunungcola_SK_2	invertebrate	invertebrate
GCF_947563725.1_qqArgBrue1.1	invertebrate	invertebrate
GCF_000497125.1_ASM49712v2	invertebrate	invertebrate
GCF_000004985.1_V1.0	invertebrate	invertebrate
GCF_002204515.2_AaegL5.0	invertebrate	invertebrate
GCF_000003225.4_ASM322v1	invertebrate	invertebrate
GCF_017916325.1_LU_Lmar_1.0	invertebrate	invertebrate
GCF_012273895.1_Zerene_cesonia_1.1	invertebrate	invertebrate
GCF_000004695.1_dicty_2.7	invertebrate	invertebrate
GCF_014839805.1_JHU_Msex_v1.0	invertebrate	invertebrate
GCF_000209125.1_JCVI_EDISG_1.0	invertebrate	invertebrate
GCF_000223845.1_GNI3	invertebrate	invertebrate
GCF_000002445.2_ASM244v1	invertebrate	invertebrate
GCF_016086655.3_UVic_Lsal_1.2	invertebrate	invertebrate
GCF_009768925.1_ASM976892v2	invertebrate	invertebrate
GCF_000142945.1_ASM14294v1	invertebrate	invertebrate
GCF_017639315.1_ASM1763931v2	invertebrate	invertebrate
GCF_014356525.2_ASM1435652v1	invertebrate	invertebrate
GCF_900090045.1_PmUG01	invertebrate	invertebrate
GCF_000006405.1_JCVI_PMG_1.0	invertebrate	invertebrate
GCF_000220395.1_JCVI__IMG1__V.1	invertebrate	invertebrate
GCF_000149755.1_P.sojae_V3.0	invertebrate	invertebrate
GCF_000524495.1_Plas_inui_San_Antonio_1_V1	invertebrate	invertebrate
GCF_900005765.1_PRELSG	invertebrate	invertebrate
GCF_042767895.1_ASM4276789v1	invertebrate	invertebrate
GCF_031307605.1_icTriCast1.1	invertebrate	invertebrate
GCF_002897235.1_Bovata_7.1	invertebrate	invertebrate
GCF_000209065.1_ASM20906v1	invertebrate	invertebrate
GCF_036669935.1_ASM3666993v2	invertebrate	invertebrate
GCF_026930045.1_Udiv.v.3.1	invertebrate	invertebrate
GCF_009193385.2_Nvit_psr_1.1	invertebrate	invertebrate
GCF_020800215.1_PR__102_v3_p	invertebrate	invertebrate
GCF_003590095.1_tn1	invertebrate	invertebrate
GCF_008121235.1_UCBerk_Dsub_1.0	invertebrate	invertebrate
GCF_021461395.2_iqSchAmer2.1	invertebrate	invertebrate
GCF_000210295.1_ASM21029v1	invertebrate	invertebrate
GCF_002706865.2_ASM270686v3	invertebrate	invertebrate
GCF_000499425.1_EAH001	invertebrate	invertebrate
GCF_001680005.1_ASM168000v1	invertebrate	invertebrate
GCF_000691245.1_Tgr_V1	invertebrate	invertebrate
GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2	invertebrate	invertebrate
GCF_000006355.2_GCA_000006355.2	invertebrate	invertebrate
GCF_002999335.1_CcayRef3	invertebrate	invertebrate
GCF_000499385.1_ENH001	invertebrate	invertebrate
GCF_037126465.1_ASM3712646v1	invertebrate	invertebrate
GCF_023898315.1_iqSchNite1.1	invertebrate	invertebrate
GCF_040412425.1_ASM4041242v1	invertebrate	invertebrate
GCF_036588685.1_PNRI_Mtr1.1.1.hap1	invertebrate	invertebrate
GCF_943734735.2_idAnoGambNW_F1_1	invertebrate	invertebrate
GCF_015228065.2_NSTDA_Pmon_1	invertebrate	invertebrate
GCF_000002765.6_GCA_000002765	invertebrate	invertebrate
GCF_000321355.1_PcynB_1.0	invertebrate	invertebrate
GCF_000237925.1_ASM23792v2	invertebrate	invertebrate
GCF_000151545.1_ASM15154v2	invertebrate	invertebrate
GCF_001839685.1_ASM183968v2	invertebrate	invertebrate
GCF_013339745.2_BIME_Dsil_1.4	invertebrate	invertebrate
GCF_932274485.2_xgPatVulg1.2	invertebrate	invertebrate
GCF_000208865.1_ASM20886v2	invertebrate	invertebrate
GCF_013758885.1_VT_AalbS3_pri_1.0	invertebrate	invertebrate
GCF_001865345.1_ASM186534v1	invertebrate	invertebrate
GCF_035046485.1_AalbF5	invertebrate	invertebrate
GCF_000257125.1_ENU1_v1	invertebrate	invertebrate
GCF_001601855.1_ASM160185v1	invertebrate	invertebrate
GCF_022059095.1_T.mel.1	invertebrate	invertebrate
GCF_019202785.1_ASM1920278v2	invertebrate	invertebrate
GCF_020184175.1_ASM2018417v2	invertebrate	invertebrate
GCF_013753865.1_Amil_v2.1	invertebrate	invertebrate
GCF_963675165.1_odHalPani1.1	invertebrate	invertebrate
GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0	invertebrate	invertebrate
GCF_000141845.1_ASM14184v1	invertebrate	invertebrate
GCF_016746365.2_Prin_Dyak_Tai18E2_2.1	invertebrate	invertebrate
GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal	invertebrate	invertebrate
GCF_000281045.1_Sap_diclina_VS20_V1	invertebrate	invertebrate
GCF_018902025.1_UCI_dwil_1.1	invertebrate	invertebrate
GCF_040581485.1_Lhum_UNIL_v1.0	invertebrate	invertebrate
GCF_000151665.1_ASM15166v1	invertebrate	invertebrate
GCF_003672135.1_Obir_v5.4	invertebrate	invertebrate
GCF_030705265.1_ASM3070526v1	invertebrate	invertebrate
GCF_000240725.1_ASM24072v1	invertebrate	invertebrate
GCF_000018645.1_ASM1864v1	invertebrate	invertebrate
GCF_038502225.1_ASM3850222v1	invertebrate	invertebrate
GCF_023897955.1_iqSchGreg1.2	invertebrate	invertebrate
GCF_900002385.2_GCA_900002385	invertebrate	invertebrate
